StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,BMY,BMO,BFY,BFO
"AL",1,1,713410,0.17624928161926523,0.15253500791970956,0.1731276545044224,0.17062138181410408,8.440868504786869e-2,4.642211351116469e-2,8.975904458866571e-2,5.807039430341599e-2
"AL",1,2,673776,0.17214623257581155,0.14388313029849684,0.16774714445156846,0.16181490584407873,0.1036501745387191,4.667129728574482e-2,9.848970577758781e-2,5.854171119185011e-2
"AL",1,3,710488,0.18841416040805756,0.14846274673182375,0.1842494173019108,0.1656354505635563,8.325263762371778e-2,4.216679240184212e-2,8.436736440305818e-2,5.3660301088829084e-2
"AL",1,4,685553,0.23228984484058854,0.18995467892343845,0.23174429985719558,0.2127027377897843,2.2831203422638367e-2,1.1494370238333142e-2,2.193557609696114e-2,1.5472180852538025e-2
"AL",1,5,718713,0.20543944523057187,0.16868485751614343,0.19646507020187473,0.1871678959473392,5.889277082785479e-2,2.7293231095026804e-2,6.0300843312977505e-2,3.3326237315868784e-2
"AL",1,6,700401,0.20829781796428046,0.1678795432902009,0.21511962432949125,0.19173444926549219,5.043539343890143e-2,2.1497684897651487e-2,6.012555664540742e-2,2.7194421481408507e-2
"AL",1,7,672406,9.602383084029589e-2,7.060020285363307e-2,8.682551910601631e-2,7.789341558522678e-2,0.18291329940541876,0.10541399095189513,0.19907466619869543,0.1438431542847625
"AK",2,0,739795,0.2006515318432809,0.13894930352327334,0.17700038524185754,0.12527389344345394,1.2218249650240945e-2,4.535040112463588e-3,9.099818192877756e-3,4.029494657303712e-3
"AZ",4,1,765810,0.18500672490565545,0.15238505634556873,0.16755069795380056,0.1597602538488659,9.041407137540643e-3,4.588605528786514e-3,5.510505216698659e-3,4.084564056358627e-3
"AZ",4,2,720429,0.2081093348546491,0.19150256305617902,0.19627888383171693,0.22055469727065402,1.4338678759461376e-2,6.702950603043464e-3,1.2829855544404791e-2,6.33927840217426e-3
"AZ",4,3,773297,0.22927542716446592,0.11816417236844318,0.22231173792216963,0.12992420764596269,1.6456807668981e-2,7.342586354272679e-3,1.3240708291898197e-2,5.993816088773136e-3
"AZ",4,4,771214,0.2044127829629649,0.24035352055330947,0.18657726649153153,0.2546323069861284,6.942301358637161e-3,3.5528400677373594e-3,3.511347045048456e-3,2.7968890606238994e-3
"AZ",4,5,822497,0.2421905490232791,0.1692869396484121,0.23745375363071233,0.19570770470895335,1.2041381305950052e-2,5.503971443056935e-3,8.487568951619276e-3,5.230414214276769e-3
"AZ",4,6,783087,0.21360844963586423,0.2046426514550746,0.20814545510268975,0.22362904760262908,9.092220915428299e-3,3.994447615654454e-3,8.652933837491874e-3,3.97273866122155e-3
"AZ",4,7,833654,0.23268766178774408,9.948131958822246e-2,0.22817979641433978,0.10338941575281832,3.714370710150734e-2,1.5303711131956423e-2,3.727325725060997e-2,1.4697944231059887e-2
"AZ",4,8,777208,0.20301901164167122,0.19360969007009707,0.2033393891982584,0.22643745303702484,1.381998126627621e-2,6.668742473057406e-3,1.295406120369322e-2,8.099504894442671e-3
"AZ",4,9,769074,0.23779116183878274,0.13909194693878613,0.2129587009832604,0.14465448058314284,2.5066508554443395e-2,7.472622920551208e-3,2.110460111770779e-2,1.069077878071551e-2
"AR",5,1,722287,0.21100199782081083,0.1734282909702099,0.1982660632130995,0.18980543745076403,5.7405158891133304e-2,2.9345675610941358e-2,5.3379058462910176e-2,3.1163512564949945e-2
"AR",5,2,765193,0.19920725882228404,0.1478646563677399,0.19085119701826858,0.16840195872152516,7.447010100719688e-2,3.2014145450886246e-2,8.097303556096305e-2,4.192275674241662e-2
"AR",5,3,807421,0.24763041833194827,0.16045780330211873,0.24093378794953316,0.17989128348160377,1.1010365100734313e-2,3.3947593634547526e-3,1.1525585784863164e-2,3.140864555170103e-3
"AR",5,4,709378,0.1957813746690763,0.16994042668365808,0.18522423869925483,0.18995937285903988,5.5643112698730436e-2,3.35223251919287e-2,5.857102983176811e-2,4.348880286673677e-2
