StateAbbreviation,StateFIPS,CongressionalDistrict,Population,NonHSGradPct,HSGradPct,CollegeGradPct,GradSchoolPct
"AL",1,1,713410,0.12237524941988288,0.33522032258982165,0.1641619695128642,8.560740599257938e-2
"AL",1,2,673776,0.15271541282072623,0.3261802857130341,0.14469643537724897,8.63556912617021e-2
"AL",1,3,710488,0.1443155763083463,0.31459724523438937,0.1265773794580844,9.026627169419758e-2
"AL",1,4,685553,0.17829878063111473,0.3438825371932081,0.10725190105741311,7.14186514083529e-2
"AL",1,5,718713,0.11030515863405183,0.27001291676757894,0.20140268022927263,0.11800072656817631
"AL",1,6,700401,8.474423196076578e-2,0.2573075832519454,0.23415771399766863,0.14206231687722504
"AL",1,7,672406,0.15691949532022983,0.33492671856635936,0.1335217723797686,7.320247873293165e-2
"AK",2,0,739795,8.313796175354732e-2,0.2764592647660421,0.17950789204275264,0.10848054555912959
"AZ",4,1,765810,0.13737529392508255,0.26836707400324966,0.15070522058852884,0.10260730012096339
"AZ",4,2,720429,7.907079751010433e-2,0.19840861813953856,0.20022581487135274,0.15398715504899907
"AZ",4,3,773297,0.23061750839874023,0.2795778226091729,0.11141435428855649,5.617669191469839e-2
"AZ",4,4,771214,0.12350385812487061,0.3035882842134443,0.11920184712772341,7.336928869441335e-2
"AZ",4,5,822497,5.959992201777193e-2,0.22719429782287467,0.23943641442088173,0.12097266431383838
"AZ",4,6,783087,6.538424325584259e-2,0.18134592887739576,0.2717312716046125,0.17274014653754474
"AZ",4,7,833654,0.31178758625775016,0.28202213360042766,9.420810827971988e-2,4.336596226677891e-2
"AZ",4,8,777208,8.268930617888023e-2,0.25042080041188935,0.19975013006558184,0.10683019825775128
"AZ",4,9,769074,9.875584276817591e-2,0.18470343084587315,0.2435894655702995,0.1530307480911817
"AR",5,1,722287,0.1523522443283243,0.39227061763655835,0.1085123819415144,5.5803933660056475e-2
"AR",5,2,765193,9.622643716707871e-2,0.3030158866332348,0.18435552678578393,0.12047168560532207
"AR",5,3,807421,0.1397774593693595,0.2911844984971506,0.1909088642218271,9.659283811233679e-2
"AR",5,4,709378,0.14590966240297593,0.37965066137428694,0.11163457641912322,6.060744604578185e-2
"CA",6,1,718214,0.10028986421112993,0.25096407930180364,0.15805186027402118,8.974361500672934e-2
"CA",6,2,717999,8.376173565149624e-2,0.17758329009122317,0.2524098233214184,0.17032054459981597
"CA",6,3,750271,0.1617293818531806,0.23882372623008719,0.16084126954621591,8.998849584755862e-2
"CA",6,4,748410,6.546676810497004e-2,0.2135412694544839,0.21196389143621386,0.11735469242058702
"CA",6,5,732438,0.12125229038740543,0.20512044884849628,0.2126712612496315,0.11161291441320804
"CA",6,6,764344,0.14736862772045903,0.2456379396664278,0.1791257227561428,0.10491915929594471
"CA",6,7,750860,0.10242096830992728,0.20688133927223898,0.22251933949668937,0.11175887836723954
"CA",6,8,721449,0.1693832828044943,0.2988277751610399,0.10459359112992214,5.4263771596379615e-2
"CA",6,9,774266,0.1767975217104261,0.27303844395916915,0.14948961454471585,6.340967954903255e-2
"CA",6,10,758005,0.1902200488997555,0.3019394140317434,0.12358169988811073,5.5677344494633456e-2
"CA",6,11,764135,0.1248111473398821,0.1605590979475032,0.27771830238626977,0.16377076908893526
"CA",6,12,774736,0.1119990993236886,0.11182057241196292,0.36031234167799214,0.23556706419731244
"CA",6,13,766731,0.150667249331649,0.1461191574370575,0.2717636387672963,0.20987323364376156
"CA",6,14,756389,0.10805237369876874,0.15206739731752517,0.2873202930668822,0.201396412002031
"CA",6,15,785387,9.648568467866334e-2,0.1941751639509959,0.2774245716148513,0.1817584142692457
"CA",6,16,729788,0.32844401214912966,0.23902540856495288,8.693188595968031e-2,3.36119802897806e-2
"CA",6,17,771078,8.162366234005405e-2,0.1560686022976967,0.2824635873029056,0.28144166656134506
"CA",6,18,742728,6.281341327698337e-2,0.10397446689916753,0.30585699860079524,0.33872590284975823
"CA",6,19,770105,0.177307838517395,0.19192895722497844,0.22923336092763155,0.13574272079780325
"CA",6,20,744295,0.24082283083655312,0.20234142968860333,0.16785023956021256,0.11233508497905824
