Year,StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
2010,"AL",1,1,689835,129191,99497,124994,111087,76258,33184,73173,42451
2010,"AL",1,2,666779,120113,91450,115110,104993,76738,31334,87354,39687
2010,"AL",1,3,690081,128923,90830,125371,100356,76825,36980,86713,44083
2010,"AL",1,4,659152,170816,125722,161685,142587,21436,7858,19696,9352
2010,"AL",1,5,719906,156127,116186,151924,128017,57831,22726,59125,27970
2010,"AL",1,6,747579,177013,122542,178167,142320,46885,15795,46275,18582
2010,"AL",1,7,611966,61391,42811,56716,48337,125579,60202,135095,81835
2010,"AK",2,0,713985,155125,101278,135351,89692,87686,28347,82396,34110
2010,"AZ",4,1,781608,151374,130359,133361,134992,89570,30877,76378,34697
2010,"AZ",4,2,984825,233603,182574,229988,201168,50048,15871,51188,20385
2010,"AZ",4,3,691893,173222,117571,168024,133515,38312,10148,38450,12651
2010,"AZ",4,4,708666,187973,60840,172255,61779,89420,26114,84803,25482
2010,"AZ",4,5,660446,161715,111884,148151,129029,43571,10213,42118,13765
2010,"AZ",4,6,970648,234658,152146,232969,173544,66927,19072,70697,20635
2010,"AZ",4,7,866463,208866,106770,208975,111471,89111,27146,82057,32067
2010,"AZ",4,8,749188,163884,153636,151518,173564,39714,13511,37289,16072
2010,"AR",5,1,688562,156020,119135,147134,133411,46917,17053,46445,22447
2010,"AR",5,2,753672,165389,111082,158600,126166,67675,23235,71532,29993
2010,"AR",5,3,825495,215780,135251,209217,151945,43374,11391,46399,12138
2010,"AR",5,4,653877,122333,105176,117729,115327,61007,30019,66523,35763
2010,"CA",6,1,710852,152663,119489,150098,131397,63702,16065,58414,19024
2010,"CA",6,2,707923,159721,124254,154232,137566,51473,16540,45601,18536
2010,"CA",6,3,790923,150874,118703,144931,132791,93758,33726,79534,36606
2010,"CA",6,4,774590,173913,154020,162660,168367,46224,16446,36011,16949
2010,"CA",6,5,694153,111565,66077,114586,76518,116221,41574,117199,50413
2010,"CA",6,6,663617,142463,122975,135365,144149,43557,17176,40292,17640
2010,"CA",6,7,667980,116348,74070,102110,81044,97683,46136,96202,54387
