fips,stateFIPS,CountyFIPS,Abbreviation,medianHI,medianHI_MOE,povertyR
1067,1,67,"AL",42501,4045,17
1073,1,73,"AL",48415,2007,18
1081,1,81,"AL",46442,2439,21
1105,1,105,"AL",26218,2734,40
1113,1,113,"AL",36124,3386,23
1125,1,125,"AL",47868,2814,20
1005,1,5,"AL",31433,2811,32
1015,1,15,"AL",42091,2143,20
1051,1,51,"AL",53548,4190,14
1055,1,55,"AL",42145,2341,19
2060,2,60,"AK",66373,6815,9
2070,2,70,"AK",50753,4912,20
2110,2,110,"AK",82892,6143,8
2275,2,275,"AK",54500,5591,12
4001,4,1,"AZ",31072,2389,38
5011,5,11,"AR",37331,2682,28
5063,5,63,"AR",38241,3597,18
5099,5,99,"AR",35914,3348,24
5141,5,141,"AR",38306,3705,19
18169,18,169,"IN",48223,3454,12
18177,18,177,"IN",41849,2268,18
18011,18,11,"IN",75163,5204,6
18031,18,31,"IN",51625,4897,13
18035,18,35,"IN",40633,1946,23
18039,18,39,"IN",50117,2207,14
18051,18,51,"IN",53483,3999,11
18053,18,53,"IN",39984,2796,18
18059,18,59,"IN",70277,4187,6
18081,18,81,"IN",68256,3472,8
18085,18,85,"IN",54147,3573,10
18135,18,135,"IN",41315,2855,18
6003,6,3,"CA",50882,5369,19
6009,6,9,"CA",52471,4553,13
6089,6,89,"CA",45943,3019,19
6095,6,95,"CA",67202,2584,12
6097,6,97,"CA",66463,2539,11
8003,8,3,"CO",40067,4003,24
8041,8,41,"CO",60050,1755,11
8047,8,47,"CO",67389,5934,8
8097,8,97,"CO",76663,7200,7
8113,8,113,"CO",62793,6454,11
9001,9,1,"CT",86297,2296,9
12011,12,11,"FL",53624,1394,14
12031,12,31,"FL",49565,1309,16
12061,12,61,"FL",49887,2295,13
12079,12,79,"FL",34360,3129,27
12086,12,86,"FL",43687,978,20
13009,13,9,"GA",38015,3666,26
13035,13,35,"GA",44166,4404,19
13053,13,53,"GA",41066,3176,21
13107,13,107,"GA",31772,2771,27
13113,13,113,"GA",80588,4393,7
13121,13,121,"GA",59911,1563,16
13157,13,157,"GA",56102,4419,13
13171,13,171,"GA",42177,4352,21
13191,13,191,"GA",38770,3609,24
13205,13,205,"GA",34139,3160,28
13225,13,225,"GA",41725,3484,22
13251,13,251,"GA",35911,3498,27
13259,13,259,"GA",28977,2897,42
16009,16,9,"ID",41368,3413,18
16011,16,11,"ID",49644,4414,14
16037,16,37,"ID",45801,4197,14
16039,16,39,"ID",44509,3619,15
16043,16,43,"ID",49555,3940,15
16067,16,67,"ID",45429,3918,17
17035,17,35,"IL",51505,4698,12
17065,17,65,"IL",45926,4346,13
17079,17,79,"IL",52608,5061,12
17097,17,97,"IL",82160,2018,9
17121,17,121,"IL",43018,2895,18
17133,17,133,"IL",79686,7406,5
17149,17,149,"IL",45106,3345,15
17177,17,177,"IL",46430,2857,13
17197,17,197,"IL",76293,2200,8
17203,17,203,"IL",68233,4013,7
28013,28,13,"MS",33906,3221,23
28015,28,15,"MS",39439,3871,19
28027,28,27,"MS",25948,2528,35
28033,28,33,"MS",60610,2596,10
28047,28,47,"MS",42370,2382,22
28071,28,71,"MS",43435,4259,21
28075,28,75,"MS",38334,2678,22
28085,28,85,"MS",40627,4019,20
28109,28,109,"MS",43420,4051,21
28111,28,111,"MS",37777,3704,21
28145,28,145,"MS",42120,4193,17
19061,19,61,"IA",57862,2739,12
19079,19,79,"IA",54042,4759,11
19087,19,87,"IA",50241,3544,12
19089,19,89,"IA",50602,4387,11
19113,19,113,"IA",58142,2883,11
19179,19,179,"IA",44738,3252,16
19193,19,193,"IA",50774,2334,14
20003,20,3,"KS",47267,4859,14
20021,20,21,"KS",39842,3731,18
20025,20,25,"KS",50392,5211,12
20051,20,51,"KS",49192,3620,12
20107,20,107,"KS",46065,4541,14
20143,20,143,"KS",50302,4933,10
20175,20,175,"KS",45807,4051,15
21027,21,27,"KY",42347,3826,19
21061,21,61,"KY",38673,3134,20
21069,21,69,"KY",47030,2306,20
21077,21,77,"KY",47679,3820,15
21079,21,79,"KY",45018,3485,17
21093,21,93,"KY",49637,3003,15
21099,21,99,"KY",34764,3318,22
21101,21,101,"KY",45718,4367,17
21121,21,121,"KY",28578,2629,32
21125,21,125,"KY",37737,2702,23
21127,21,127,"KY",36276,2612,25
21159,21,159,"KY",29198,2844,40
21195,21,195,"KY",34315,2621,25
21197,21,197,"KY",34510,3485,26
21199,21,199,"KY",40702,1572,23
21213,21,213,"KY",45496,4404,16
21215,21,215,"KY",68147,5872,9
21217,21,217,"KY",35700,3530,23
21227,21,227,"KY",45964,3714,18
21231,21,231,"KY",29826,2770,28
22055,22,55,"LA",52411,2078,17
22071,22,71,"LA",38640,1788,24
22073,22,73,"LA",38453,2660,23
22097,22,97,"LA",33503,2872,27
22105,22,105,"LA",41768,3607,24
22127,22,127,"LA",36173,3657,24
23001,23,1,"ME",48930,2611,15
23017,23,17,"ME",42674,3333,17
24001,24,1,"MD",39859,3112,20
24003,24,3,"MD",90825,1834,6
24015,24,15,"MD",68972,3418,10
24043,24,43,"MD",55270,3456,12
26037,26,37,"MI",65051,3896,10
26047,26,47,"MI",49774,3207,11
26065,26,65,"MI",47470,2285,21
26077,26,77,"MI",52252,2283,16
26087,26,87,"MI",57774,3837,10
26101,26,101,"MI",41811,2677,15
26103,26,103,"MI",48108,2851,15
27021,27,21,"MN",47645,2403,15
27101,27,101,"MN",50378,4304,9
27117,27,117,"MN",51939,3667,11
27127,27,127,"MN",48520,4032,11
27159,27,159,"MN",45597,3113,15
39019,39,19,"OH",52166,3969,13
39087,39,87,"OH",39698,3793,21
39103,39,103,"OH",70576,3301,7
39115,39,115,"OH",39969,3736,19
39121,39,121,"OH",47714,4651,15
39145,39,145,"OH",37277,3219,23
39157,39,157,"OH",47588,2969,13
39167,39,167,"OH",44697,3705,15
39171,39,171,"OH",49031,4197,12
29005,29,5,"MO",46339,4584,13
29011,29,11,"MO",39633,3977,18
29063,29,63,"MO",44429,4645,20
29081,29,81,"MO",38005,3612,18
29097,29,97,"MO",43724,2102,16
29137,29,137,"MO",44048,3941,14
29139,29,139,"MO",41470,4216,17
29155,29,155,"MO",29621,2590,28
29171,29,171,"MO",37286,3799,18
29175,29,175,"MO",39976,3553,20
29207,29,207,"MO",38773,3419,19
