fips,stateFIPS,CountyFIPS,Abbreviation,year,medianHI,medianHI_MOE,povertyR
2290,2,290,"AK",2017,37907,3558,23.2
2013,2,13,"AK",2017,69375,7501,14.6
2016,2,16,"AK",2017,80290,5534,8.1
2020,2,20,"AK",2017,78579,4227,9.6
2050,2,50,"AK",2017,45582,3883,28.7
2060,2,60,"AK",2017,70094,7432,10.9
2068,2,68,"AK",2017,73220,7620,8.0
2070,2,70,"AK",2017,52641,5316,20.8
2090,2,90,"AK",2017,74241,6070,7.4
2100,2,100,"AK",2017,53413,5945,11.4
2105,2,105,"AK",2017,50573,5194,17.6
2110,2,110,"AK",2017,90436,6145,8.3
2122,2,122,"AK",2017,63559,5168,10.2
2130,2,130,"AK",2017,71298,3272,9.9
2150,2,150,"AK",2017,71118,7659,7.5
2158,2,158,"AK",2017,31250,2297,37.5
2164,2,164,"AK",2017,47644,4717,15.7
2170,2,170,"AK",2017,72296,4915,11.3
2180,2,180,"AK",2017,53877,3877,23.2
2185,2,185,"AK",2017,82736,5878,12.2
2188,2,188,"AK",2017,53060,5578,26.0
2195,2,195,"AK",2017,59176,6289,7.4
2198,2,198,"AK",2017,46488,4802,18.5
2220,2,220,"AK",2017,69501,6165,8.1
2230,2,230,"AK",2017,66991,7198,4.3
2240,2,240,"AK",2017,59382,6274,12.8
2261,2,261,"AK",2017,86196,4863,9.2
2275,2,275,"AK",2017,55696,5665,12.4
2282,2,282,"AK",2017,59955,6133,15.3
4001,4,1,"AZ",2017,33053,2621,33.1
4003,4,3,"AZ",2017,48966,3423,16.1
4005,4,5,"AZ",2017,54399,3674,18.4
4007,4,7,"AZ",2017,38897,2992,24.1
4009,4,9,"AZ",2017,46378,3948,20.9
4011,4,11,"AZ",2017,63557,6828,10.1
4012,4,12,"AZ",2017,36389,3837,20.9
4013,4,13,"AZ",2017,62221,525,13.5
4015,4,15,"AZ",2017,42210,2239,17.3
4017,4,17,"AZ",2017,40883,2285,26.4
4019,4,19,"AZ",2017,51392,1088,16.6
4021,4,21,"AZ",2017,53114,2050,13.0
4023,4,23,"AZ",2017,39265,3969,23.6
4025,4,25,"AZ",2017,49860,2578,13.9
4027,4,27,"AZ",2017,46013,2366,19.0
5001,5,1,"AR",2017,43752,3912,19.9
5003,5,3,"AR",2017,40495,4379,19.8
5005,5,5,"AR",2017,43011,2196,13.9
5007,5,7,"AR",2017,64728,2941,9.1
5009,5,9,"AR",2017,41770,2466,14.9
5011,5,11,"AR",2017,35950,3707,20.9
5013,5,13,"AR",2017,42484,4330,15.2
5015,5,15,"AR",2017,38297,3922,16.4
5017,5,17,"AR",2017,31810,3046,30.1
5019,5,19,"AR",2017,40536,4072,21.4
5021,5,21,"AR",2017,35164,3044,18.1
5023,5,23,"AR",2017,43170,3405,15.6
5025,5,25,"AR",2017,47812,4881,14.3
5027,5,27,"AR",2017,38488,3952,25.5
5029,5,29,"AR",2017,43519,4731,17.2
5031,5,31,"AR",2017,49355,2978,14.9
5033,5,33,"AR",2017,44850,4182,17.5
5035,5,35,"AR",2017,39272,3556,21.1
5037,5,37,"AR",2017,41661,3875,18.4
5039,5,39,"AR",2017,33739,3804,21.0
5041,5,41,"AR",2017,33228,3620,29.0
5043,5,43,"AR",2017,41339,4484,20.3
5045,5,45,"AR",2017,51535,4472,13.4
5047,5,47,"AR",2017,41140,4314,18.0
5049,5,49,"AR",2017,35723,3626,20.6
5051,5,51,"AR",2017,44662,3372,15.9
5053,5,53,"AR",2017,54819,5635,12.2
5055,5,55,"AR",2017,46029,4008,14.8
5057,5,57,"AR",2017,39505,3494,24.2
5059,5,59,"AR",2017,42329,3875,16.8
5061,5,61,"AR",2017,36744,3994,19.1
5063,5,63,"AR",2017,42332,3878,15.9
5065,5,65,"AR",2017,37958,3378,19.3
5067,5,67,"AR",2017,36235,3567,22.2
5069,5,69,"AR",2017,38677,2958,23.5
5071,5,71,"AR",2017,39798,2972,18.4
5073,5,73,"AR",2017,33378,3651,24.1
5075,5,75,"AR",2017,40777,3320,16.9
5077,5,77,"AR",2017,28875,3215,37.3
5079,5,79,"AR",2017,43821,3371,23.4
5081,5,81,"AR",2017,42063,4495,17.0
5083,5,83,"AR",2017,37676,3282,20.5
5085,5,85,"AR",2017,54378,4066,11.1
5087,5,87,"AR",2017,40568,4106,17.0
5089,5,89,"AR",2017,39539,2289,18.3
5091,5,91,"AR",2017,44325,2357,18.8
5093,5,93,"AR",2017,39678,2052,24.3
5095,5,95,"AR",2017,32427,3388,27.3
5097,5,97,"AR",2017,35500,3362,21.1
5099,5,99,"AR",2017,46687,2141,19.5
5101,5,101,"AR",2017,34036,3788,19.8
5103,5,103,"AR",2017,39576,4125,19.9
5105,5,105,"AR",2017,44118,4081,15.1
5107,5,107,"AR",2017,27663,2936,39.8
5109,5,109,"AR",2017,37493,3798,18.5
5111,5,111,"AR",2017,39778,2793,21.0
5113,5,113,"AR",2017,35678,3533,23.3
5115,5,115,"AR",2017,45803,4288,16.7
5117,5,117,"AR",2017,43139,4180,16.1
5119,5,119,"AR",2017,52361,2601,15.0
5121,5,121,"AR",2017,35989,3709,19.4
5123,5,123,"AR",2017,31561,3399,33.7
5125,5,125,"AR",2017,61384,4913,7.9
5127,5,127,"AR",2017,33354,3646,20.6
5129,5,129,"AR",2017,30640,3144,21.6
5131,5,131,"AR",2017,44058,3927,18.6
5133,5,133,"AR",2017,41649,2873,19.5
5135,5,135,"AR",2017,34266,3509,23.9
5137,5,137,"AR",2017,32778,3485,21.2
5139,5,139,"AR",2017,43827,3900,17.5
5141,5,141,"AR",2017,36244,2911,19.8
5143,5,143,"AR",2017,50400,2319,13.8
5145,5,145,"AR",2017,44088,3301,15.2
5147,5,147,"AR",2017,32271,3453,26.8
5149,5,149,"AR",2017,40325,3778,18.8
1001,1,1,"AL",2017,58343,6222,13.4
1003,1,3,"AL",2017,56607,4168,10.1
1005,1,5,"AL",2017,32490,3272,33.4
1007,1,7,"AL",2017,45795,4871,20.2
1009,1,9,"AL",2017,48253,4469,12.8
1011,1,11,"AL",2017,29113,3184,34.4
1013,1,13,"AL",2017,36842,3437,21.3
1015,1,15,"AL",2017,45937,2518,17.7
1017,1,17,"AL",2017,36883,3595,18.2
1019,1,19,"AL",2017,44842,4261,17.2
1021,1,21,"AL",2017,46405,4727,16.8
1023,1,23,"AL",2017,36711,3794,23.7
1025,1,25,"AL",2017,36719,3848,23.3
1027,1,27,"AL",2017,39642,4292,18.1
1029,1,29,"AL",2017,45480,4819,16.1
1031,1,31,"AL",2017,51998,3620,15.5
1033,1,33,"AL",2017,46100,4090,15.4
1035,1,35,"AL",2017,30796,3262,23.7
1037,1,37,"AL",2017,42442,3554,17.4
1039,1,39,"AL",2017,39093,3114,17.7
1041,1,41,"AL",2017,38419,3757,19.9
1043,1,43,"AL",2017,45925,3940,13.8
1045,1,45,"AL",2017,42572,3853,17.7
1047,1,47,"AL",2017,31329,2739,27.9
1049,1,49,"AL",2017,39906,3560,19.5
1051,1,51,"AL",2017,59652,4603,12.0
1053,1,53,"AL",2017,37870,2881,23.3
1055,1,55,"AL",2017,41791,2845,18.1
1057,1,57,"AL",2017,39394,4084,19.4
1059,1,59,"AL",2017,41025,2531,20.5
1061,1,61,"AL",2017,38561,3685,21.7
1063,1,63,"AL",2017,28108,3126,33.2
1065,1,65,"AL",2017,34905,3682,25.1
1067,1,67,"AL",2017,48094,3217,17.0
1069,1,69,"AL",2017,44753,1834,16.6
1071,1,71,"AL",2017,42658,3270,16.6
1073,1,73,"AL",2017,50731,1219,16.7
1075,1,75,"AL",2017,39796,4341,18.7
1077,1,77,"AL",2017,46646,4328,13.7
1079,1,79,"AL",2017,42912,3944,16.8
1081,1,81,"AL",2017,51372,3863,17.8
1083,1,83,"AL",2017,57342,4588,11.9
1085,1,85,"AL",2017,33130,3558,25.9
1087,1,87,"AL",2017,30849,3076,30.6
1089,1,89,"AL",2017,62750,2599,12.8
1091,1,91,"AL",2017,37469,4102,22.8
1093,1,93,"AL",2017,38049,3571,19.3
1095,1,95,"AL",2017,42751,3831,20.1
1097,1,97,"AL",2017,45615,2656,19.7
1099,1,99,"AL",2017,36432,3987,23.8
1101,1,101,"AL",2017,45833,2628,21.3
1103,1,103,"AL",2017,49274,3836,14.8
1105,1,105,"AL",2017,26703,3011,37.2
1107,1,107,"AL",2017,38379,3607,22.3
1109,1,109,"AL",2017,40680,2880,27.7
1111,1,111,"AL",2017,41112,3787,17.0
1113,1,113,"AL",2017,36186,2788,23.2
1115,1,115,"AL",2017,52755,3701,13.5
1117,1,117,"AL",2017,74098,3244,7.4
1119,1,119,"AL",2017,26495,2665,35.9
1121,1,121,"AL",2017,41733,3618,18.3
1123,1,123,"AL",2017,44469,3138,18.3
1125,1,125,"AL",2017,51644,2328,15.9
1127,1,127,"AL",2017,41925,3140,17.4
1129,1,129,"AL",2017,44249,4337,20.2
1131,1,131,"AL",2017,25700,2749,32.0
1133,1,133,"AL",2017,38562,4127,21.3
18045,18,45,"IN",2017,50817,2853,12.9
18047,18,47,"IN",2017,62467,5646,9.4
18049,18,49,"IN",2017,51088,4714,12.2
18051,18,51,"IN",2017,53714,4021,10.4
18053,18,53,"IN",2017,44790,2929,18.4
18055,18,55,"IN",2017,59347,2213,11.6
18057,18,57,"IN",2017,95080,3661,3.8
18059,18,59,"IN",2017,73294,5921,5.5
18061,18,61,"IN",2017,57136,5920,9.4
18063,18,63,"IN",2017,75647,6020,5.1
18065,18,65,"IN",2017,48915,2719,12.8
18067,18,67,"IN",2017,51035,4139,14.5
18069,18,69,"IN",2017,53635,3772,10.2
18071,18,71,"IN",2017,48789,3361,12.7
18073,18,73,"IN",2017,58891,5265,10.0
18075,18,75,"IN",2017,46740,4462,14.3
18077,18,77,"IN",2017,51163,3569,13.7
18079,18,79,"IN",2017,48961,4909,12.8
18081,18,81,"IN",2017,70690,4305,8.8
18083,18,83,"IN",2017,44044,3395,18.9
18085,18,85,"IN",2017,62666,3292,10.4
18087,18,87,"IN",2017,63291,4009,7.8
18089,18,89,"IN",2017,54929,1749,15.9
18091,18,91,"IN",2017,51532,3784,14.5
18093,18,93,"IN",2017,49112,3926,13.3
18095,18,95,"IN",2017,44987,3467,17.4
18097,18,97,"IN",2017,47642,1495,17.6
18099,18,99,"IN",2017,53387,3990,11.6
18101,18,101,"IN",2017,50203,5270,12.5
18103,18,103,"IN",2017,47225,2610,14.0
18105,18,105,"IN",2017,49180,3386,21.6
18107,18,107,"IN",2017,53720,4523,12.1
18109,18,109,"IN",2017,61068,2246,9.9
18111,18,111,"IN",2017,58384,4968,10.9
18113,18,113,"IN",2017,52764,3588,9.8
18115,18,115,"IN",2017,56915,5524,9.3
18117,18,117,"IN",2017,43061,4358,14.4
18119,18,119,"IN",2017,49044,4526,14.7
18121,18,121,"IN",2017,48537,4040,14.3
18123,18,123,"IN",2017,50670,4554,12.1
18001,18,1,"IN",2017,51488,5071,15.4
18003,18,3,"IN",2017,52661,1561,13.1
18005,18,5,"IN",2017,61943,4267,10.6
18007,18,7,"IN",2017,52841,4181,11.2
18009,18,9,"IN",2017,42636,3501,14.3
18011,18,11,"IN",2017,82670,5129,5.7
18013,18,13,"IN",2017,56979,6030,10.9
18015,18,15,"IN",2017,55471,5234,9.6
18017,18,17,"IN",2017,47727,4650,13.8
18019,18,19,"IN",2017,52746,2780,10.6
18021,18,21,"IN",2017,50746,4105,11.2
18023,18,23,"IN",2017,51540,4614,13.4
18025,18,25,"IN",2017,42555,4484,16.2
18027,18,27,"IN",2017,46292,3284,13.4
18029,18,29,"IN",2017,65005,5673,9.7
18031,18,31,"IN",2017,55808,3791,11.1
18033,18,33,"IN",2017,54289,4472,10.4
18035,18,35,"IN",2017,41874,2436,20.6
18037,18,37,"IN",2017,63033,5499,8.3
18039,18,39,"IN",2017,58781,3311,10.8
18041,18,41,"IN",2017,44970,3752,15.5
18043,18,43,"IN",2017,61009,3902,10.5
18125,18,125,"IN",2017,49844,4989,10.4
18127,18,127,"IN",2017,67525,4072,10.4
18129,18,129,"IN",2017,65617,5362,9.1
18131,18,131,"IN",2017,50022,4563,12.5
18133,18,133,"IN",2017,57402,3916,12.0
18135,18,135,"IN",2017,46016,3153,15.3
18137,18,137,"IN",2017,52562,5218,10.9
18139,18,139,"IN",2017,51113,4534,12.0
18141,18,141,"IN",2017,52188,1825,16.0
18143,18,143,"IN",2017,48615,4150,16.3
18145,18,145,"IN",2017,61327,2863,8.4
18147,18,147,"IN",2017,56646,5396,10.4
18149,18,149,"IN",2017,46940,4713,17.1
18151,18,151,"IN",2017,55184,4690,11.0
18153,18,153,"IN",2017,46810,4509,14.6
18155,18,155,"IN",2017,47478,5249,16.3
18157,18,157,"IN",2017,52858,3450,18.0
18159,18,159,"IN",2017,55503,5438,8.9
18161,18,161,"IN",2017,48206,5099,10.7
18163,18,163,"IN",2017,47456,2779,17.5
18165,18,165,"IN",2017,46330,4195,13.3
18167,18,167,"IN",2017,42497,3187,19.4
18169,18,169,"IN",2017,50177,3806,13.3
18171,18,171,"IN",2017,58045,6053,10.0
18173,18,173,"IN",2017,75727,5121,6.8
18175,18,175,"IN",2017,47686,4787,13.5
18177,18,177,"IN",2017,44179,3752,16.6
18179,18,179,"IN",2017,55221,4294,8.6
18181,18,181,"IN",2017,52377,5115,10.5
18183,18,183,"IN",2017,60126,5190,8.5
6001,6,1,"CA",2017,95550,2046,9.3
6003,6,3,"CA",2017,55755,6217,18.1
6005,6,5,"CA",2017,60588,5166,10.9
6007,6,7,"CA",2017,48634,2661,18.1
6009,6,9,"CA",2017,58536,5284,13.1
6011,6,11,"CA",2017,53595,5649,12.2
6013,6,13,"CA",2017,95062,2502,9.1
6015,6,15,"CA",2017,39996,3752,24.6
6017,6,17,"CA",2017,78464,5270,8.3
6019,6,19,"CA",2017,51452,1615,21.1
6021,6,21,"CA",2017,49979,2805,14.8
6023,6,23,"CA",2017,46123,3902,19.7
6025,6,25,"CA",2017,43413,3789,20.7
6027,6,27,"CA",2017,53528,4885,11.8
6029,6,29,"CA",2017,49904,1965,21.2
6031,6,31,"CA",2017,55076,3375,18.4
6033,6,33,"CA",2017,45797,3097,20.2
6035,6,35,"CA",2017,58776,4487,16.3
6037,6,37,"CA",2017,64912,660,14.9
6039,6,39,"CA",2017,50783,3699,21.2
6041,6,41,"CA",2017,112735,5598,7.9
6043,6,43,"CA",2017,52387,4142,15.2
6045,6,45,"CA",2017,50453,4228,16.3
6047,6,47,"CA",2017,48036,2745,23.0
6049,6,49,"CA",2017,40970,4340,19.2
6051,6,51,"CA",2017,60318,5114,9.3
6053,6,53,"CA",2017,70294,2248,11.9
6055,6,55,"CA",2017,83881,4016,6.8
6057,6,57,"CA",2017,64901,5547,11.0
6059,6,59,"CA",2017,86031,1140,11.5
6061,6,61,"CA",2017,81366,2764,7.8
6063,6,63,"CA",2017,51756,5386,14.3
6065,6,65,"CA",2017,63776,1102,12.9
6067,6,67,"CA",2017,62959,1656,14.1
6069,6,69,"CA",2017,77200,6759,8.4
6071,6,71,"CA",2017,60270,967,16.0
6073,6,73,"CA",2017,76048,907,11.9
6075,6,75,"CA",2017,109601,2468,10.1
6077,6,77,"CA",2017,60950,1403,15.5
6079,6,79,"CA",2017,70634,3306,11.9
6081,6,81,"CA",2017,115908,3093,6.4
6083,6,83,"CA",2017,70651,1805,14.2
6085,6,85,"CA",2017,118468,2650,7.5
6087,6,87,"CA",2017,76633,4829,12.6
6089,6,89,"CA",2017,51207,3113,17.0
6091,6,91,"CA",2017,49495,5527,13.7
6093,6,93,"CA",2017,44013,2824,17.7
