StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGrads,AverageHouseholdSize,PovertyCount
"AL",1,1,713410,47984.0,40.0,80791,2.66,119104
"AL",1,2,673776,46579.0,38.5,66060,2.67,117807
"AL",1,3,710488,46484.0,38.1,60505,2.51,122428
"AL",1,4,685553,43218.0,40.7,50197,2.67,119227
"AL",1,5,718713,54707.0,39.5,99791,2.46,96615
"AL",1,6,700401,65170.0,39.1,111486,2.63,68481
"AL",1,7,672406,35988.0,36.3,59189,2.5,158994
"AK",2,0,739795,73181.0,34.5,86444,2.84,80012
"AZ",4,1,765810,50303.0,37.6,75500,2.86,140579
"AZ",4,2,720429,53516.0,41.4,101259,2.3,97124
"AZ",4,3,773297,47670.0,31.8,51968,3.08,149031
"AZ",4,4,771214,49387.0,48.1,67941,2.43,100244
"AZ",4,5,822497,71675.0,38.0,131413,2.81,65423
"AZ",4,6,783087,73425.0,42.3,154467,2.4699999999999998,82103
"AZ",4,7,833654,43969.0,29.7,45994,3.37,198403
"AZ",4,8,777208,67699.0,43.1,110959,2.64,62891
"AZ",4,9,769074,56598.0,33.5,123561,2.48,123137
"AR",5,1,722287,41143.0,39.7,53494,2.45,128716
"AR",5,2,765193,51287.0,37.4,94553,2.55,101238
"AR",5,3,807421,51335.0,35.5,99529,2.62,114211
"AR",5,4,709378,40903.0,40.8,53718,2.51,134200
"CA",6,1,718214,51478.0,42.3,80208,2.45,118506
"CA",6,2,717999,76114.0,44.3,130849,2.5,86328
"CA",6,3,750271,65934.0,35.2,77875,2.9,98850
"CA",6,4,748410,75841.0,44.6,113952,2.62,68745
"CA",6,5,732438,78152.0,40.2,110380,2.71,70648
"CA",6,6,764344,54243.0,34.4,91235,2.7199999999999998,135037
"CA",6,7,750860,74608.0,38.7,115002,2.8,76364
"CA",6,8,721449,52428.0,34.2,47299,3.1,127954
"CA",6,9,774266,65392.0,35.0,73590,3.22,112837
"CA",6,10,758005,63223.0,34.6,59643,3.15,96525
"CA",6,11,764135,90155.0,39.7,147607,2.82,74270
"CA",6,12,774736,111717.0,38.2,224026,2.31,78265
"CA",6,13,766731,76915.0,36.8,148009,2.6,106260
"CA",6,14,756389,110507.0,39.4,156745,2.95,47796
"CA",6,15,785387,116710.0,38.5,152333,3.06,39409
"CA",6,16,729788,43839.0,30.8,37895,3.33,189477
"CA",6,17,771078,124131.0,36.8,156445,3.0,48807
"CA",6,18,742728,134077.0,39.8,160229,2.7,42485
"CA",6,19,770105,101427.0,36.7,118794,3.31,68883
"CA",6,20,744295,73076.0,34.9,79630,3.18,82480
"CA",6,21,723549,42621.0,30.0,26453,3.58,169651
"CA",6,22,760328,57667.0,32.2,76592,3.08,133283
"CA",6,23,745328,55680.0,34.5,62950,3.01,129467
"CA",6,24,740039,71356.0,36.0,97223,2.75,95897
"CA",6,25,721740,76866.0,35.8,86297,3.27,93742
"CA",6,26,732091,82029.0,38.0,105787,3.1,67005
"CA",6,27,717980,77629.0,41.2,135722,2.93,72768
"CA",6,28,719156,65849.0,40.3,171740,2.38,98485
"CA",6,29,713745,53347.0,35.3,72449,3.34,116020
"CA",6,30,771201,81276.0,39.3,163639,2.71,71602
"CA",6,31,762208,61631.0,33.0,78709,3.29,115922
"CA",6,32,725317,70390.0,37.1,76480,3.66,83868
"CA",6,33,705588,105200.0,41.2,188944,2.35,54299
"CA",6,34,763303,46883.0,34.8,104732,2.91,165549
"CA",6,35,745237,60741.0,32.6,54696,3.73,117134
"CA",6,36,737403,46494.0,43.7,68045,2.62,129747
"CA",6,37,713530,59069.0,35.5,114963,2.54,129856
"CA",6,38,718428,72463.0,37.0,80987,3.44,72529
"CA",6,39,736480,89300.0,38.4,138331,3.22,72068
"CA",6,40,738618,47190.0,30.6,33995,3.99,165889
"CA",6,41,765770,64658.0,30.7,50049,4.02,103304
"CA",6,42,826899,83837.0,34.6,93231,3.59,68347
"CA",6,43,745656,56655.0,36.1,95068,3.03,122701
"CA",6,44,717097,50346.0,32.3,46003,3.77,132474
"CA",6,45,777871,102040.0,38.8,181043,2.7800000000000002,69904
"CA",6,46,734649,65334.0,32.4,66978,3.82,122354
"CA",6,47,723526,68300.0,37.5,109402,2.89,111335
"CA",6,48,721632,89807.0,42.9,152939,2.69,69188
